family,Prenylation,Methoxylation,Glycosylation,Phenolic OH
Acanthaceae,0,0.9230769230769231,0.2692307692307692,0.5769230769230769
Achariaceae,0,0,0,1
Actinidiaceae,0,0,0.034482758620689655,1
Aizoaceae,0,0.2692307692307692,0.11538461538461539,1
Altingiaceae,0.25,0,0,1
Amaranthaceae,0,0.696969696969697,0.21212121212121213,0.7272727272727273
Amaryllidaceae,0.02631578947368421,0.47368421052631576,0.11842105263157894,0.9605263157894737
Anacardiaceae,0,0.2125,0.1375,0.9125
Annonaceae,0.11483253588516747,0.5741626794258373,0.04784688995215311,0.8708133971291866
Apiaceae,0.6310679611650486,0.27184466019417475,0.05825242718446602,1
Apocynaceae,0.033707865168539325,0.33707865168539325,0.25842696629213485,0.8089887640449438
Aquifoliaceae,0.2,0.2,0.4,1
Araceae,0,0,0,1
Araliaceae,0.16666666666666666,0.3333333333333333,0.9166666666666666,0.9166666666666666
Araucariaceae,0,0.6,0,0.8
Arecaceae,0,0.4883720930232558,0,1
Aristolochiaceae,0,0.46153846153846156,0.5384615384615384,1
Asparagaceae,0.0379746835443038,0.7531645569620253,0.08860759493670886,0.9620253164556962
Asphodelaceae,0,0.6470588235294118,0.17647058823529413,0.9411764705882353
Aspleniaceae,0,0,1,1
Asteraceae,0.23184357541899442,0.49162011173184356,0.3226256983240223,0.9441340782122905
Athyriaceae,0,1,1,1
Balanophoraceae,0.09302325581395349,0.09302325581395349,0.8372093023255814,0.9534883720930233
Balsaminaceae,0,1,0,1
Basellaceae,0,0,0,0
Begoniaceae,0,0,0.1875,0.5625
Berberidaceae,0.08333333333333333,0.3333333333333333,0.4166666666666667,1
Betulaceae,0,0.25,0.20833333333333334,0.9791666666666666
Bignoniaceae,0,0.4782608695652174,0.2608695652173913,1
Bixaceae,0,0,0,1
Blechnaceae,0.2,0.4,0.2,1
Bonnetiaceae,0,1,0,1
Boraginaceae,0,0.3333333333333333,0.5,1
Brassicaceae,0.21568627450980393,0.29411764705882354,0.2549019607843137,1
Bromeliaceae,0,0.2916666666666667,0,1
Burseraceae,0.25,0.2,0.1,1
Cactaceae,0,0,0.4,1
Calceolariaceae,0,0.6666666666666666,0,1
Calophyllaceae,0,0.2631578947368421,0,1
Campanulaceae,0,0.3,0.5,1
Cannabaceae,0.5324675324675324,0.5974025974025974,0.025974025974025976,1
Capparaceae,0,0,0,1
Caprifoliaceae,0.2857142857142857,0.7142857142857143,0.2857142857142857,1
Caryophyllaceae,0,0.125,0.5625,0.875
Casuarinaceae,0,0,0,1
Celastraceae,0.017543859649122806,0.49122807017543857,0.21052631578947367,1
Cephalotaxaceae,0,0,0.4,1
Cercidiphyllaceae,0,0,0,1
Chloranthaceae,0,0.8333333333333334,0.16666666666666666,1
Chrysobalanaceae,0,0.13333333333333333,0.06666666666666667,1
Cistaceae,0,0.1111111111111111,0.1111111111111111,1
Cleomaceae,0,0,0,1
Clusiaceae,0.04,0.184,0.24,0.952
Combretaceae,0.38028169014084506,0.4507042253521127,0.028169014084507043,0.7323943661971831
Convolvulaceae,0.3333333333333333,0.23076923076923078,0.5641025641025641,0.8461538461538461
Cordiaceae,0,0,0,1
Coriariaceae,0,0,0,1
Cornaceae,0,0,0.4,1
Crassulaceae,0,0.10256410256410256,0,1
Cucurbitaceae,0,0.05263157894736842,0.15789473684210525,1
Cunoniaceae,0,0,1,1
Cupressaceae,0.04,0.2,0.26,0.9
Cyatheaceae,0,0,0,1
Cycadaceae,0,0.35,0,1
Cynomoriaceae,0,0,0.3333333333333333,1
Cyperaceae,0.2318840579710145,0.6086956521739131,0.028985507246376812,0.927536231884058
Daphniphyllaceae,0,0,1,1
Davalliaceae,0,0,0.35714285714285715,1
Dennstaedtiaceae,0,0,0.6,1
Diapensiaceae,0,0,0,1
Didiereaceae,0,0.5,0,1
Dilleniaceae,0,0.14285714285714285,0.8571428571428571,1
Dioscoreaceae,0.03333333333333333,0.2,0.16666666666666666,0.9666666666666667
Dipterocarpaceae,0.5454545454545454,0.13636363636363635,0.09090909090909091,0.9090909090909091
Dryopteridaceae,0,0.23076923076923078,0.11538461538461539,1
Ebenaceae,0,0,0,1
Elaeagnaceae,0,0,0,1
Elatinaceae,0,0,0,1
Ephedraceae,0,0,0,1
Equisetaceae,0,0,0,1
Ericaceae,0.024096385542168676,0.2469879518072289,0.42168674698795183,0.9879518072289156
Eriocaulaceae,0,1,0,0.7142857142857143
Erythroxylaceae,0.05,0.25,0.45,0.95
Eucommiaceae,0,0,0.2,1
Euphorbiaceae,0.42990654205607476,0.16355140186915887,0.21962616822429906,0.9906542056074766
Eupteleaceae,0,0,0,1
Fabaceae,0.38452357270738013,0.49592202108613487,0.14979112790928983,0.8267356276109011
Fagaceae,0.009523809523809525,0.009523809523809525,0.3238095238095238,1
Francoaceae,0,0.375,0,1
Gentianaceae,0.2,0.76,0.64,0.64
Geraniaceae,0,0,0.16666666666666666,1
Gesneriaceae,0.09090909090909091,0.6363636363636364,0,0.9090909090909091
Ginkgoaceae,0,0,0,1
Gleicheniaceae,0,0,0,1
Gnetaceae,0,0.4166666666666667,0,1
Grossulariaceae,0,0.11764705882352941,0.20588235294117646,1
Haloragaceae,0,0,0,1
Hamamelidaceae,0,0.05,0,1
Heliotropiaceae,0,0.6875,0.0625,1
Hernandiaceae,1,0,0,1
Humiriaceae,0,1,0,1
Hydrangeaceae,0,0,0.8,1
Hypericaceae,0.09615384615384616,0.19230769230769232,0.40384615384615385,1
Iridaceae,0,0.8103448275862069,0.4425287356321839,0.867816091954023
Juglandaceae,0,0,0,1
Krameriaceae,0,0.7931034482758621,0,0.7241379310344828
Lamiaceae,0.026515151515151516,0.6212121212121212,0.32196969696969696,0.9545454545454546
Lardizabalaceae,0,0,0,1
Lauraceae,0.22406639004149378,0.3153526970954357,0.058091286307053944,0.7966804979253111
Lecythidaceae,0,0,0,1
Loganiaceae,0,1,0,1
Loranthaceae,0,0,0.3076923076923077,1
Lycopodiaceae,0,0,0,0
Lythraceae,0,0.11428571428571428,0.2857142857142857,1
Malpighiaceae,0,0.06666666666666667,0.2,1
Malvaceae,0,0.15584415584415584,0.3116883116883117,0.948051948051948
Marcgraviaceae,0,0,1,1
Melanthiaceae,0,0.3333333333333333,0.8333333333333334,1
Melastomataceae,0,0.4074074074074074,0.4444444444444444,0.9259259259259259
Meliaceae,0.22123893805309736,0.37168141592920356,0.05309734513274336,0.8849557522123894
Menispermaceae,0,1,0,0
Molluginaceae,0,0,1,1
Moraceae,0.616532721010333,0.11940298507462686,0.06659012629161883,0.9827784156142365
Muntingiaceae,0,0.7391304347826086,0,0.9347826086956522
Musaceae,0,0.09523809523809523,0.09523809523809523,0.9047619047619048
Myricaceae,0.020833333333333332,0.2916666666666667,0,0.9166666666666666
Myristicaceae,0,0.6666666666666666,0.10101010101010101,0.9494949494949495
Myrtaceae,0.14210526315789473,0.3473684210526316,0.16842105263157894,0.9263157894736842
Namaceae,0,0.7142857142857143,0,1
Nelumbonaceae,0,0,0,1
Nothofagaceae,0,0.6666666666666666,0.3333333333333333,1
Nyctaginaceae,0,0.5588235294117647,0,0.9411764705882353
Nymphaeaceae,0,0,0.75,1
Ochnaceae,0.014285714285714285,0.3,0.05714285714285714,0.9285714285714286
Olacaceae,0,0.5,0,1
Oleaceae,0,0,0,1
Onagraceae,0,0,0.8333333333333334,1
Onocleaceae,0,0.47619047619047616,0.6190476190476191,1
Ophioglossaceae,0,0,0,1
Orchidaceae,0.01834862385321101,0.7064220183486238,0.13761467889908258,0.8807339449541285
Oxalidaceae,0,0,0,1
Paeoniaceae,0,0.1,0.3,1
Pandaceae,0.3333333333333333,1,0,1
Papaveraceae,0,0.5714285714285714,0,0.5714285714285714
Paracryphiaceae,0,0.4444444444444444,0,1
Passifloraceae,0,0,0,1
Paulowniaceae,0.8787878787878788,0.6565656565656566,0,1
Pentaphylacaceae,0,0,0,1
Petiveriaceae,0,0.6923076923076923,0.3076923076923077,0.7692307692307693
Phrymaceae,0.7058823529411765,0.5294117647058824,0,1
Phyllanthaceae,0.09876543209876543,0.12345679012345678,0.37037037037037035,0.9753086419753086
Physenaceae,1,0,0,1
Phytolaccaceae,0,0,0,1
