Family,Order,Node.1,Node.2,Node.3,Node.4
Amborellaceae,Amborellales,,,,
Hydatellaceae,Nymphaeales,,,,
Cabombaceae,Nymphaeales,,,,
Nymphaeaceae,Nymphaeales,,,,
Austrobaileyaceae,Austrobaileyales,,,,
Trimeniaceae,Austrobaileyales,,,,
Schisandraceae,Austrobaileyales,,,,
Canellaceae,Canellales,Magnoliids,,,
Winteraceae,Canellales,Magnoliids,,,
Saururaceae,Piperales,Magnoliids,,,
Piperaceae,Piperales,Magnoliids,,,
Aristolochiaceae,Piperales,Magnoliids,,,
Myristicaceae,Magnoliales,Magnoliids,,,
Magnoliaceae,Magnoliales,Magnoliids,,,
Degeneriaceae,Magnoliales,Magnoliids,,,
Himantandraceae,Magnoliales,Magnoliids,,,
Eupomatiaceae,Magnoliales,Magnoliids,,,
Annonaceae,Magnoliales,Magnoliids,,,
Calycanthaceae,Laurales,Magnoliids,,,
Siparunaceae,Laurales,Magnoliids,,,
Gomortegaceae,Laurales,Magnoliids,,,
Atherospermataceae,Laurales,Magnoliids,,,
Hernandiaceae,Laurales,Magnoliids,,,
Monimiaceae,Laurales,Magnoliids,,,
Lauraceae,Laurales,Magnoliids,,,
Chloranthaceae,Chloranthales,,,,
Acoraceae,Acorales,Monocots,,,
Araceae,Alismatales,Monocots,,,
Tofieldiaceae,Alismatales,Monocots,,,
Alismataceae,Alismatales,Monocots,,,
Butomaceae,Alismatales,Monocots,,,
Hydrocharitaceae,Alismatales,Monocots,,,
Scheuchzeriaceae,Alismatales,Monocots,,,
Aponogetonaceae,Alismatales,Monocots,,,
Juncaginaceae,Alismatales,Monocots,,,
Maundiaceae,Alismatales,Monocots,,,
Zosteraceae,Alismatales,Monocots,,,
Potamogetonaceae,Alismatales,Monocots,,,
Posidoniaceae,Alismatales,Monocots,,,
Ruppiaceae,Alismatales,Monocots,,,
Cymodoceaceae,Alismatales,Monocots,,,
Petrosaviaceae,Petrosaviales,Monocots,,,
Nartheciaceae,Dioscoreales,Monocots,,,
Burmanniaceae,Dioscoreales,Monocots,,,
Dioscoreaceae,Dioscoreales,Monocots,,,
Triuridaceae,Pandanales,Monocots,,,
Velloziaceae,Pandanales,Monocots,,,
Stemonaceae,Pandanales,Monocots,,,
Cyclanthaceae,Pandanales,Monocots,,,
